,trialsIdx,conditions,rOri,lOri,xvals,respLoc,accuracy,targetLoc,RT,factor2
2036,1195,0,1.0,-1.0,0.291182282,2,1,1,0.460285902,0
2042,0,0,0.0,0.0,0.0,0,0,0,0.0,0
2045,4,-1,-1.0,-1.0,0.02,2,1,1,0.507799149,0
2047,6,-1,-1.0,-1.0,0.034170945,2,1,1,0.479897022,0
2048,7,1,-1.0,1.0,0.058382673,2,1,2,0.317875624,0
2051,10,0,1.0,-1.0,0.034170945,2,1,1,0.266496658,0
2054,13,-1,1.0,-1.0,0.034170945,2,1,1,0.49885273,0
2055,14,1,-1.0,-1.0,0.034170945,2,1,1,0.337122917,0
2057,16,1,-1.0,-1.0,0.099749555,2,0,2,0.318944931,0
2063,22,0,1.0,-1.0,0.02,2,0,2,0.556468725,0
2065,24,1,-1.0,-1.0,0.034170945,2,1,1,0.286050797,0
2067,26,-1,1.0,-1.0,0.291182282,2,1,1,0.581070423,0
2069,28,-1,-1.0,1.0,0.058382673,2,1,2,0.508562565,0
2070,29,1,1.0,-1.0,0.02,2,0,2,0.229961157,0
2076,35,-1,1.0,1.0,0.02,2,0,1,0.364528894,0
2078,37,0,1.0,-1.0,0.85,2,0,2,0.222803831,0
2079,38,0,-1.0,-1.0,0.034170945,2,0,2,0.508616924,0
2083,42,0,1.0,-1.0,0.170426826,2,1,1,0.507111073,0
2086,45,1,-1.0,-1.0,0.170426826,2,1,1,0.382759333,0
2087,46,1,-1.0,-1.0,0.291182282,2,1,1,0.317960262,0
2088,47,0,1.0,1.0,0.058382673,2,1,2,0.259525061,0
2089,48,1,1.0,-1.0,0.099749555,2,0,2,0.272150755,0
2090,49,-1,1.0,1.0,0.291182282,2,1,2,0.530106783,0
2093,52,1,1.0,-1.0,0.02,2,0,2,0.20966053,0
2094,53,0,-1.0,-1.0,0.099749555,2,1,1,0.30613184,0
2096,55,-1,1.0,-1.0,0.85,2,0,2,0.281818867,0
2097,56,1,-1.0,-1.0,0.02,2,1,1,0.451056242,0
2098,57,1,-1.0,1.0,0.099749555,2,0,1,1.145763636,0
2100,59,1,1.0,1.0,0.85,2,1,2,0.21574688,0
2102,61,1,-1.0,1.0,0.02,2,1,2,0.263870955,0
2103,62,1,1.0,1.0,0.02,2,0,1,0.236281872,0
2108,67,1,-1.0,-1.0,0.099749555,2,1,1,0.354383469,0
2111,70,1,1.0,1.0,0.034170945,2,1,2,0.28501296,0
2115,74,1,1.0,-1.0,0.058382673,2,1,1,1.219580173,0
2118,77,1,1.0,-1.0,0.85,2,1,1,0.50751996,0
2121,80,1,-1.0,-1.0,0.170426826,2,1,1,1.53348875,0
2124,83,1,-1.0,1.0,0.170426826,2,1,2,0.320601702,0
2125,84,1,-1.0,-1.0,0.170426826,2,1,1,0.528076172,0
2126,85,1,1.0,-1.0,0.170426826,2,1,1,0.461667299,0
2127,86,0,1.0,1.0,0.291182282,2,1,2,0.396386147,0
2128,87,-1,-1.0,1.0,0.034170945,2,0,1,0.441908598,0
2132,91,0,1.0,1.0,0.02,2,0,1,0.434460878,0
2133,92,1,-1.0,-1.0,0.497498683,2,1,1,0.302689314,0
2136,95,0,-1.0,1.0,0.291182282,2,1,2,0.335683107,0
2137,96,1,1.0,-1.0,0.034170945,2,0,2,0.268210411,0
2139,98,1,-1.0,-1.0,0.85,2,1,1,1.099545717,0
2141,100,0,-1.0,-1.0,0.058382673,2,0,2,0.57750988,0
2143,101,0,1.0,-1.0,0.170426826,2,1,1,0.357188225,0
2146,104,0,1.0,1.0,0.85,2,1,2,0.318719864,0
2150,108,-1,-1.0,1.0,0.034170945,2,1,2,0.399594307,0
2155,113,1,-1.0,1.0,0.170426826,2,1,2,0.354788303,0
2158,116,-1,-1.0,-1.0,0.291182282,2,1,1,0.589343309,0
2159,117,1,1.0,-1.0,0.291182282,2,0,2,0.447583437,0
2162,120,1,-1.0,-1.0,0.497498683,2,1,1,0.268703938,0
2163,121,0,-1.0,1.0,0.291182282,2,1,2,0.396194458,0
2165,123,-1,-1.0,1.0,0.85,2,1,2,0.628196001,0
2166,124,1,1.0,-1.0,0.02,2,1,1,0.245154142,0
